LOAD DATA
INFILE *
INTO TABLE host_service_charge
REPLACE
FIELDS TERMINATED BY '|'
TRAILING NULLCOLS
(
assetno
,pri
,pct
,charge
,amount
,account
,service_id
,hr_id
,journal
)
BEGINDATA
131010.00|0|100|13.36|13.36|76955|39||
128457.00|0|100|7.18|7.18|48945|18||
128457.00|0|100|2.93|2.93|48945|24||
128457.00|0|100|14.02|14.02|48945|27||
128457.00|0|100|0|0|48945|31||
128457.00|1|100|8.21|8.21|48945|37||
128457.00|0|100|13.36|13.36|48945|39||
128457.00|1|100|12.19|12.19|48945|45||
UTCM.00|0|100|7.18|7.18|56680|18||
UTCM.00|0|100|2.93|2.93|56680|24||
UTCM.00|0|100|14.02|14.02|56680|27||
UTCM.00|0|100|0|0|56680|31||
UTCM.00|0|100|13.36|13.36|56680|39||
118045.00|0|100|6.08|6.08|56680|9||
118045.00|0|100|12.98|12.98|56680|14||
118045.00|0|100|7.18|7.18|56680|18||
118045.00|0|100|2.93|2.93|56680|24||
118045.00|0|100|14.02|14.02|56680|27||
118045.00|0|100|8.21|8.21|56680|37||
118045.00|0|100|12.19|12.19|56680|45||
118075.00|999998|100|6.08|6.08|56680|9||
118075.00|999998|100|12.98|12.98|56680|14||
118075.00|999998|100|7.18|7.18|56680|18||
118075.00|999998|100|2.93|2.93|56680|24||
118075.00|999998|100|14.02|14.02|56680|27||
118075.00|999998|100|8.21|8.21|56680|37||
118075.00|999998|100|12.19|12.19|56680|45||
118065.00|0|100|18.17|18.17|56680|3||
118065.00|0|100|6.08|6.08|56680|9||
118065.00|0|100|12.98|12.98|56680|14||
118065.00|0|100|7.18|7.18|56680|18||
118065.00|0|100|2.93|2.93|56680|24||
118065.00|0|100|14.02|14.02|56680|27||
118065.00|0|100|0|0|56680|31||
118065.00|0|100|13.36|13.36|56680|39||
118065.00|0|100|25.13|25.13|56680|47||
118066.00|0|100|18.17|18.17|56680|3||
118066.00|0|100|6.08|6.08|56680|9||
118066.00|0|100|12.98|12.98|56680|14||
118066.00|0|100|7.18|7.18|56680|18||
118066.00|0|100|2.93|2.93|56680|24||
118066.00|0|100|14.02|14.02|56680|27||
118066.00|0|100|0|0|56680|31||
118066.00|0|100|13.36|13.36|56680|39||
118066.00|0|100|25.13|25.13|56680|47||
118067.00|0|100|18.17|18.17|56680|3||
118067.00|0|100|6.08|6.08|56680|9||
118067.00|0|100|12.98|12.98|56680|14||
118067.00|0|100|7.18|7.18|56680|18||
118067.00|0|100|2.93|2.93|56680|24||
118067.00|0|100|14.02|14.02|56680|27||
118067.00|0|100|0|0|56680|31||
118067.00|0|100|13.36|13.36|56680|39||
UDAWNJ.00|0|50|14.02|7.01|80689|27||
NC0303.00|0|100|7.18|7.18|73927|18||
130095.00|999998|100|14.02|14.02|75809|27||
130095.00|999998|100|12.19|12.19|75809|45||
130095.00|999998|100|8.21|8.21|75809|37||
130095.00|999998|100|6.08|6.08|75809|9||
UDAWNJ.00|0|50|.78|.39|4123|32||
UDAWNJ.00|0|50|.78|.39|80689|32||
130095.00|999998|100|12.98|12.98|75809|14||
130095.00|999998|100|7.18|7.18|75809|18||
UDAWNJ.00|0|50|14.02|7.01|4123|27||
UUPI13.00|0|100|14.02|14.02|78662|27||
UDAWNJ.00|0|50|11.74|5.87|4123|40||
UDAWNJ.00|0|50|11.74|5.87|80689|40||
UUPI05.00|0|100|14.02|14.02|78662|27||
UUPI07.00|0|100|14.02|14.02|78662|27||
UUPI09.00|0|100|14.02|14.02|78662|27||
UUPI11.00|0|100|14.02|14.02|78662|27||
NC0303.00|0|100|2.93|2.93|73927|24||
UUPI15.00|0|100|14.02|14.02|78662|27||
UUPI06.00|0|100|14.02|14.02|78662|27||
UUPI17.00|0|100|14.02|14.02|78662|27||
UUPI14.00|0|100|14.02|14.02|78662|27||
UUPI08.00|0|100|14.02|14.02|78662|27||
130095.00|999998|100|2.93|2.93|75809|24||
97730.00|0|100|13.36|13.36|16441|39||
118571.00|0|100|25.54|25.54|54997|5||
100036.00|0|100|6.08|6.08|16441|9||
100036.00|0|100|12.98|12.98|16441|14||
106854.00|0|100|6.08|6.08|2280|9||
NC0303.00|0|100|14.02|14.02|73927|27||
NC0303.00|0|100|8.21|8.21|73927|37||
NC0303.00|0|100|12.19|12.19|73927|45||
109680.00|1|100|18.17|18.17|79912|3||
109680.00|0|100|6.08|6.08|79912|9||
106854.00|0|100|12.98|12.98|2280|14||
106854.00|0|100|7.18|7.18|2280|18||
106854.00|0|100|2.93|2.93|2280|24||
106854.00|0|100|14.02|14.02|2280|27||
106854.00|1|100|0|0|2280|31||
106854.00|0|100|8.21|8.21|2280|37||
109680.00|0|100|12.98|12.98|79912|14||
109680.00|0|100|7.18|7.18|79912|18||
106854.00|1|100|13.36|13.36|2280|39||
100036.00|0|100|7.18|7.18|16441|18||
106854.00|0|100|12.19|12.19|2280|45||
100036.00|0|100|14.02|14.02|16441|27||
114599.00|0|100|6.08|6.08|45820|9||
114599.00|0|100|12.98|12.98|45820|14||
114599.00|0|100|7.18|7.18|45820|18||
114599.00|0|100|2.93|2.93|45820|24||
NC0303.00|0|100|12.98|12.98|73927|14||
109680.00|0|100|2.93|2.93|79912|24||
109680.00|0|100|14.02|14.02|79912|27||
109680.00|1|100|0|0|79912|31||
117961.00|0|50|12.98|6.49|3835|14||
117961.00|0|50|12.98|6.49|19309|14||
117961.00|0|50|12.19|6.1|3835|45||
109680.00|0|100|8.21|8.21|79912|37||
109680.00|1|100|13.36|13.36|79912|39||
109680.00|0|100|12.19|12.19|79912|45||
118819.00|0|100|14.02|14.02|79912|27||
132948.00|0|100|14.02|14.02|80740|27||
UREC169.0|0|100|14.02|14.02|78662|27||
